htitem_id	title	author	date	rights	OCLC	LCCN	ISBN	catalog_url	handle_url
uc1.32106019841672	Parliamentary debates (Hansard) v.309	New Zealand. Parliament	0000-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019841672
uc1.32106019841680	Parliamentary debates (Hansard) v.311	New Zealand. Parliament	0000-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019841680
uc1.32106019841698	Parliamentary debates (Hansard) v.312	New Zealand. Parliament	0000-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019841698
uc1.32106019841714	Parliamentary debates (Hansard) v.314	New Zealand. Parliament	0000-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019841714
uc1.32106019841722	Parliamentary debates (Hansard) v.315	New Zealand. Parliament	0000-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019841722
uc1.32106019841730	Parliamentary debates (Hansard) v.316	New Zealand. Parliament	0000-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019841730
uc1.32106019841748	Parliamentary debates (Hansard) v.317	New Zealand. Parliament	0000-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019841748
uc1.32106019841755	Parliamentary debates (Hansard) v.318	New Zealand. Parliament	0000-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019841755
uc1.32106019841763	Parliamentary debates (Hansard) v.319	New Zealand. Parliament	0000-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019841763
uc1.32106019841771	Parliamentary debates (Hansard) v.320	New Zealand. Parliament	0000-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019841771
uc1.32106019841789	Parliamentary debates (Hansard) v.321	New Zealand. Parliament	0000-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019841789
uc1.32106019841805	Parliamentary debates (Hansard) v.323	New Zealand. Parliament	0000-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019841805
uc1.32106019841813	Parliamentary debates (Hansard) v.324	New Zealand. Parliament	0000-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019841813
uc1.32106019841839	Parliamentary debates (Hansard) v.327	New Zealand. Parliament	0000-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019841839
uc1.32106019841847	Parliamentary debates (Hansard) v.328	New Zealand. Parliament	0000-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019841847
uc1.32106019841862	Parliamentary debates (Hansard) v.330	New Zealand. Parliament	0000-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019841862
uc1.32106019841870	Parliamentary debates (Hansard) v.331	New Zealand. Parliament	0000-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019841870
uc1.32106019841888	Parliamentary debates (Hansard) v.332	New Zealand. Parliament	0000-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019841888
uc1.32106019841904	Parliamentary debates (Hansard) v.334	New Zealand. Parliament	0000-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019841904
uc1.32106019841912	Parliamentary debates (Hansard) v.335	New Zealand. Parliament	0000-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019841912
